dataset,seed,task,family,model,variant,n_samples,n_features,status,error_message,benchmark_mode,base_variant,selected_config_id,selected_lr,selection_metric,selection_mode,selection_score,selected_epoch,candidate_config_count,candidate_lrs,tuning_budget_type,epoch,train_loss,train_metric,val_metric,grad_norm,grad_norm_max,train_val_gap,prediction_mean,prediction_std,has_gate,gate_mean,gate_median,gate_sparsity,best_epoch,best_val_metric,final_val_metric,final_vs_best,early_stopped,effective_training_status
synthetic_axis_aligned,42,classification,ablation,TST-v0,TST-v0,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,1,0.4901344060897827,0.9104234527687296,0.9073170731707317,12.360608023690704,58.6640740652379,0.003106379597997866,0.04555494338274002,0.0006804493023082614,False,,,,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v0,TST-v0,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,2,0.312331360578537,0.9104234527687296,0.9073170731707317,0.345954921881442,0.5826286458426326,0.003106379597997866,0.06685398519039154,0.0005402676179073751,False,,,,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v0,TST-v0,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,3,0.30277127027511597,0.9104234527687296,0.9073170731707317,0.202532500343446,0.39093781045183307,0.003106379597997866,0.09003474563360214,0.0004899179330095649,False,,,,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v0,TST-v0,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,4,0.2995766460895538,0.9104234527687296,0.9073170731707317,0.19150775959529182,0.3343011775533455,0.003106379597997866,0.10436228662729263,0.00044856983004137874,False,,,,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v0,TST-v0,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,5,0.30058710277080536,0.9104234527687296,0.9073170731707317,0.2169745424978849,0.3628075668386722,0.003106379597997866,0.10630778223276138,0.00041343746124766767,False,,,,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v0,TST-v0,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,6,0.30522181391716,0.9104234527687296,0.9073170731707317,0.2267977920473121,0.430547657721276,0.003106379597997866,0.09557865560054779,0.00036995665868744254,False,,,,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v0,TST-v0,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,7,0.302217572927475,0.9104234527687296,0.9073170731707317,0.12459486162065177,0.25948383245685425,0.003106379597997866,0.0890919417142868,0.00035720266168937087,False,,,,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v0,TST-v0,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,8,0.2996638983488083,0.9104234527687296,0.9073170731707317,0.22599975332668776,0.5218711227283822,0.003106379597997866,0.08897425979375839,0.00037265729042701423,False,,,,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v0,TST-v0,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,9,0.3025680065155029,0.9104234527687296,0.9073170731707317,0.09558496151425663,0.14434523164890092,0.003106379597997866,0.08665181696414948,0.0003895880072377622,False,,,,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v0,TST-v0,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,10,0.3026601105928421,0.9104234527687296,0.9073170731707317,0.20538699690587245,0.4027442847152361,0.003106379597997866,0.08719329535961151,0.0004219116526655853,False,,,,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v0,TST-v0,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,11,0.30360497534275055,0.9104234527687296,0.9073170731707317,0.15618861778885287,0.2517728497368362,0.003106379597997866,0.09047593921422958,0.00047766012721695006,False,,,,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,1,0.4903907537460327,0.9104234527687296,0.9073170731707317,16.035115254310746,76.52461834582634,0.003106379597997866,0.045744843780994415,0.0006585238152183592,True,0.7310360074043274,0.7306835055351257,0.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
